,CustomerID,Gender,Customer_City,ProductName,Category,SubCategory,UnitPrice,CostPrice,Date,Quantity,Discount,PaymentMethod,StoreName,Store_City,Region
0,C001,M,Osborneport,Like Camera,Electronics,Camera,1673.69,1323.38,2025-06-28,2,0.0,Bank Transfer,MegaMart Jimenezborough,Jimenezborough,South
1,C001,M,Osborneport,Like Camera,Electronics,Camera,1673.69,1323.38,2023-12-21,3,0.05,Mobile Money,MegaMart Peckmouth,Peckmouth,East
2,C001,M,Osborneport,Audience Television,Electronics,Television,818.76,527.62,2025-06-28,3,0.05,Bank Transfer,MegaMart Jimenezborough,Jimenezborough,South
3,C001,M,Osborneport,Audience Television,Electronics,Television,818.76,527.62,2024-04-21,3,0.05,Credit Card,MegaMart Brianahaven,Brianahaven,North
4,C001,M,Osborneport,Here Footwear,Fashion,Footwear,337.63,169.03,2025-03-02,1,0.1,Mobile Money,MegaMart Brianahaven,Brianahaven,North
5,C001,M,Osborneport,Four Accessories,Fashion,Accessories,1853.77,1363.52,2025-07-06,3,0.15,Credit Card,MegaMart New Michele,New Michele,West
6,C001,M,Osborneport,Knowledge Bags,Fashion,Bags,1396.22,1004.09,2024-11-28,3,0.1,Bank Transfer,MegaMart New Michele,New Michele,West
7,C001,M,Osborneport,Knowledge Bags,Fashion,Bags,1396.22,1004.09,2024-12-26,5,0.0,Cash,MegaMart Peckmouth,Peckmouth,East
8,C001,M,Osborneport,Us Snacks,Groceries,Snacks,123.19,80.36,2025-05-30,4,0.05,Bank Transfer,MegaMart Johnmouth,Johnmouth,East
9,C001,M,Osborneport,Us Snacks,Groceries,Snacks,123.19,80.36,2024-11-17,2,0.05,Bank Transfer,MegaMart Johnmouth,Johnmouth,East
10,C001,M,Osborneport,Step Smartphone,Electronics,Smartphone,1194.12,838.95,2024-12-05,3,0.1,Mobile Money,MegaMart Brianahaven,Brianahaven,North
11,C001,M,Osborneport,Step Smartphone,Electronics,Smartphone,1194.12,838.95,2024-11-06,2,0.05,Cash,MegaMart New Michele,New Michele,West
12,C001,M,Osborneport,Step Smartphone,Electronics,Smartphone,1194.12,838.95,2024-12-06,4,0.1,Mobile Money,MegaMart Brianahaven,Brianahaven,North
13,C001,M,Osborneport,Above Camera,Electronics,Camera,1193.09,818.24,2025-09-01,2,0.15,Cash,MegaMart Johnmouth,Johnmouth,East
14,C001,M,Osborneport,World Watches,Fashion,Watches,1134.8,675.1,2025-05-30,4,0.05,Cash,MegaMart Peckmouth,Peckmouth,East
15,C001,M,Osborneport,Add Clothing,Fashion,Clothing,1342.75,797.94,2024-07-01,4,0.15,Bank Transfer,MegaMart Brianahaven,Brianahaven,North
16,C001,M,Osborneport,Add Clothing,Fashion,Clothing,1342.75,797.94,2025-09-02,5,0.05,Bank Transfer,MegaMart Johnmouth,Johnmouth,East
17,C001,M,Osborneport,Whether Bags,Fashion,Bags,270.45,187.6,2024-11-25,1,0.15,Cash,MegaMart Jimenezborough,Jimenezborough,South
18,C001,M,Osborneport,Find Headphones,Electronics,Headphones,1246.11,833.52,2025-07-03,3,0.05,Bank Transfer,MegaMart New Michele,New Michele,West
19,C001,M,Osborneport,Democratic Smartphone,Electronics,Smartphone,1079.89,703.83,2024-11-08,2,0.0,Credit Card,MegaMart Peckmouth,Peckmouth,East
20,C001,M,Osborneport,Traditional Laptop,Electronics,Laptop,1762.92,1346.48,2024-05-22,1,0.15,Credit Card,MegaMart Brianahaven,Brianahaven,North
21,C001,M,Osborneport,Traditional Laptop,Electronics,Laptop,1762.92,1346.48,2025-09-06,2,0.15,Bank Transfer,MegaMart Johnmouth,Johnmouth,East
22,C001,M,Osborneport,Little Watches,Fashion,Watches,429.15,258.72,2024-04-01,2,0.05,Cash,MegaMart Brianahaven,Brianahaven,North
23,C001,M,Osborneport,Little Watches,Fashion,Watches,429.15,258.72,2024-06-13,1,0.0,Bank Transfer,MegaMart Brianahaven,Brianahaven,North
24,C001,M,Osborneport,Behavior Dairy,Groceries,Dairy,1015.76,584.4,2024-09-24,1,0.0,Cash,MegaMart Jimenezborough,Jimenezborough,South
25,C001,M,Osborneport,Road Clothing,Fashion,Clothing,1485.05,988.31,2025-08-28,2,0.05,Bank Transfer,MegaMart Brianahaven,Brianahaven,North
26,C001,M,Osborneport,Road Clothing,Fashion,Clothing,1485.05,988.31,2024-06-10,5,0.05,Mobile Money,MegaMart Peckmouth,Peckmouth,East
